°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ
GR3_F4H22_I,Y,31.23383871
GR3_F4H22_J,Y,31.21003226
GR3_G3E11_F,Y,31.18622581
GR3_G3E11_G,N,0
GR3_G3E11_H,N,0
GR3_G3E11_I,N,0
GR3_G3E11_J,N,0
GR3_G3E12_F,N,0
GR3_G3E12_G,N,0
GR3_G3E12_H,N,0
GR3_G3E12_I,N,0
GR3_G3E12_J,Y,30.97158065
GR3_G3E21_F,Y,31.40803226
GR3_G3E21_G,Y,31.59383871
GR3_G3E21_H,N,0
GR3_F4G12_M,Y,32.3076129
GR3_F4G12_N,Y,32.3723871
GR3_F4H12_N,N,0
GR3_F4H12_O,Y,31.58312903
GR3_F4H21_K,Y,31.62303226
GR3_F4H21_L,Y,31.82435484
GR3_F4H21_M,Y,31.92116129
GR3_F4H21_N,Y,31.81280645
GR3_F4H21_O,Y,31.60148387
GR3_F4H22_K,Y,31.45167742
GR3_F4H22_L,Y,31.42796774
GR3_F4H22_M,Y,31.40416129
GR3_F4H22_N,Y,31.38029032
GR3_F4H22_O,Y,31.35651613
GR3_G3E11_K,Y,31.33267742
GR3_G3E11_L,Y,31.30880645
GR3_G3E11_M,Y,31.28493548
GR3_G3E11_N,Y,31.26116129
GR3_G3E11_O,Y,31.23725806
GR3_G3E12_K,Y,31.21345161
GR3_G3E12_L,Y,31.18958065
GR3_G3E12_M,Y,31.39770968
GR3_G3E12_N,N,0
GR3_G3E12_O,Y,32.02696774
GR3_G3E21_L,Y,32.10329032
GR3_G3E21_M,N,0
GR3_G3E21_O,Y,33.01964516
GR3_F4G12_R,Y,32.18458065
GR3_F4G12_S,Y,32.28593548
GR3_F4H12_R,Y,31.78929032
GR3_F4H12_S,Y,31.778
GR3_F4H12_T,Y,31.76667742
GR3_F4H21_P,Y,31.7553871
GR3_F4H21_Q,N,0
GR3_F4H21_R,Y,31.78248387
GR3_F4H21_S,Y,31.98396774
GR3_F4H22_P,Y,31.67854839
GR3_F4H22_Q,Y,31.57419355
GR3_F4H22_S,Y,31.52674194
GR3_F4H22_T,Y,31.50290323
GR3_G3E11_P,N,0
GR3_G3E11_Q,Y,31.45522581
GR3_G3E12_Q,Y,32.42587097
GR3_G3E12_R,Y,32.46016129
GR3_G3E12_S,Y,32.4536129
GR3_G3E12_T,Y,32.48448387
GR3_G3E21_P,N,0
GR3_G3E21_Q,Y,32.99280645
GR3_G3E21_S,N,0
GR3_F4G12_U,Y,31.47903226
GR3_F4G12_V,Y,31.72203226
GR3_F4G12_W,Y,32.06148387
GR3_F4G12_X,Y,32.19932258
GR3_F4H11_Y,Y,32.00667742
GR3_F4H12_U,N,0
GR3_F4H12_V,N,0
GR3_F4H12_W,Y,31.97287097
GR3_F4H12_X,Y,31.96145161
GR3_F4H12_Y,Y,31.95019355
GR3_F4H21_U,Y,31.93890323
GR3_F4H21_V,Y,31.92751613
GR3_F4H21_X,Y,31.90487097
GR3_F4H21_Y,N,0
GR3_F4H22_U,Y,31.988
GR3_F4H22_V,Y,31.7556129
GR3_F4H22_W,N,0
GR3_F4H22_X,Y,31.67325806
GR3_F4H22_Y,Y,31.64935484
GR3_G3E11_U,N,0
GR3_G3E11_V,Y,31.60177419
GR3_G3E12_W,Y,32.91303226
GR3_G3E12_X,Y,32.92296774
GR3_G3E21_V,Y,33.28451613
GR3_G3E21_W,N,0
GR3_F4G14_A,Y,31.38796774
GR3_F4G14_B,Y,31.63087097
GR3_F4G14_C,Y,31.93835484
GR3_F4H13_C,N,0
GR3_F4H13_D,N,0
GR3_F4H13_E,Y,32.19019355
GR3_F4H14_A,Y,32.17883871
GR3_F4H14_B,Y,32.1676129
GR3_F4H14_C,Y,32.15629032
GR3_F4H14_D,Y,32.14487097
GR3_F4H23_A,Y,32.12235484
GR3_F4H23_B,Y,32.11103226
GR3_F4H23_C,N,0
GR3_F4H23_D,Y,32.0883871
GR3_F4H23_E,N,0
GR3_F4H24_A,Y,32.06577419
GR3_F4H24_B,Y,32.07593548
GR3_F4H24_C,N,0
GR3_F4H24_D,Y,31.81925806
GR3_F4H24_E,N,0
GR3_G3E13_A,N,0
GR3_G3E13_B,Y,32.92451613
GR3_G3E23_B,Y,33.49509677
GR3_G3E23_C,N,0
GR3_F4G14_F,Y,31.29703226
GR3_F4G14_G,Y,31.53983871
GR3_F4G14_H,Y,31.81532258
GR3_F4H13_G,Y,32.40767742
GR3_F4H13_H,Y,32.39632258
GR3_F4H13_I,Y,32.38503226
GR3_F4H13_J,Y,32.3736129
GR3_F4H14_F,Y,32.36245161
GR3_F4H14_G,Y,32.35119355
GR3_F4H14_I,Y,32.32841935
GR3_F4H14_J,Y,32.31716129
GR3_F4H23_G,N,0
GR3_F4H23_H,Y,32.28325806
GR3_F4H23_J,Y,32.26051613
GR3_F4H24_F,Y,32.25322581
GR3_F4H24_G,Y,32.30006452
GR3_F4G14_K,Y,31.096
GR3_F4G24_K,N,0
GR3_F4G24_O,N,0
GR3_F4H13_K,N,0
GR3_F4H13_L,Y,32.59119355
GR3_F4H13_M,Y,32.57980645
GR3_F4H13_N,Y,32.56845161
GR3_F4H13_O,Y,32.55719355
GR3_F4H14_O,Y,32.50054839
GR3_F4H23_K,Y,32.48932258
GR3_F4H23_L,Y,32.478
GR3_F4H23_M,Y,32.46674194
GR3_F4H23_O,Y,32.46325806
GR3_F4H24_K,Y,32.49183871
GR3_F4H24_L,Y,32.45164516
GR3_F4G13_T,Y,31.16590323
GR3_F4G14_P,Y,30.97032258
GR3_F4G14_Q,Y,31.34145161
GR3_F4G14_R,Y,31.60058065
GR3_F4G14_S,Y,31.85303226
GR3_F4G24_P,Y,32.50277419
GR3_F4G24_Q,N,0
GR3_F4G24_T,Y,33.114
GR3_F4H13_P,Y,33.22303226
GR3_F4H13_R,Y,32.76332258
GR3_F4H13_S,Y,32.75196774
GR3_F4H14_R,Y,32.70677419
GR3_F4H14_S,Y,32.69545161
GR3_F4H14_T,Y,32.68409677
GR3_F4H23_P,Y,32.67280645
GR3_F4H23_T,Y,32.68345161
GR3_F4H24_P,Y,32.69006452
GR3_F4H24_Q,Y,32.80154839
GR3_F4G13_X,Y,31.71951613
GR3_F4G13_Y,Y,31.34351613
GR3_F4G14_V,Y,31.08506452
