fid,id,left,top,right,bottom,¼ö¿Â
"206",1715,126.275,35.275,126.3,35.25,27.45857
"207",1715,126.275,35.275,126.3,35.25,27.490025
"208",1715,126.275,35.275,126.3,35.25,27.56765
"209",1715,126.275,35.275,126.3,35.25,27.456665
"210",1715,126.275,35.275,126.3,35.25,27.484217
"211",1715,126.275,35.275,126.3,35.25,27.554243
"212",1715,126.275,35.275,126.3,35.25,27.444656
"213",1715,126.275,35.275,126.3,35.25,27.475364
"214",1715,126.275,35.275,126.3,35.25,27.529532
"215",1715,126.275,35.275,126.3,35.25,27.426277
"216",1715,126.275,35.275,126.3,35.25,27.458358
"217",1715,126.275,35.275,126.3,35.25,27.505629
"218",3774,126.575,37.5,126.6,37.475,26.490238
"219",3774,126.575,37.5,126.6,37.475,26.484736
"220",3774,126.575,37.5,126.6,37.475,26.478816
"221",3774,126.575,37.5,126.6,37.475,26.500389
"222",3774,126.575,37.5,126.6,37.475,26.483936
"223",3774,126.575,37.5,126.6,37.475,26.472227
"224",3774,126.575,37.5,126.6,37.475,26.520808
"225",3774,126.575,37.5,126.6,37.475,26.485841
"226",3774,126.575,37.5,126.6,37.475,26.46689
"227",1714,126.275,35.3,126.3,35.275,27.481347
"228",1714,126.275,35.3,126.3,35.275,27.516897
"229",1714,126.275,35.3,126.3,35.275,27.571698
"230",1714,126.275,35.3,126.3,35.275,27.468323
"231",1714,126.275,35.3,126.3,35.275,27.50402
"232",1714,126.275,35.3,126.3,35.275,27.56993
"233",1714,126.275,35.3,126.3,35.275,27.45857
"234",1714,126.275,35.3,126.3,35.275,27.490025
"235",1714,126.275,35.3,126.3,35.275,27.56765
"236",3773,126.575,37.525,126.6,37.5,26.578751
"237",3773,126.575,37.525,126.6,37.5,26.535735
"238",3773,126.575,37.525,126.6,37.5,26.51362
"239",3773,126.575,37.525,126.6,37.5,26.548306
"240",3773,126.575,37.525,126.6,37.5,26.521351
"241",3773,126.575,37.525,126.6,37.5,26.505093
"242",3773,126.575,37.525,126.6,37.5,26.507149
"243",3773,126.575,37.525,126.6,37.5,26.498443
"244",3773,126.575,37.525,126.6,37.5,26.490868
"245",3773,126.575,37.525,126.6,37.5,26.490238
"246",3773,126.575,37.525,126.6,37.5,26.484736
"247",3773,126.575,37.525,126.6,37.5,26.478816
"248",11944,127.7,34.625,127.725,34.6,26.603434
"249",11944,127.7,34.625,127.725,34.6,26.589226
"250",11944,127.7,34.625,127.725,34.6,26.575524
"251",11944,127.7,34.625,127.725,34.6,26.562366
"252",11944,127.7,34.625,127.725,34.6,26.604106
"253",11944,127.7,34.625,127.725,34.6,26.590548
"254",11944,127.7,34.625,127.725,34.6,26.577465
"255",11944,127.7,34.625,127.725,34.6,26.56489
"256",11944,127.7,34.625,127.725,34.6,26.604575
"257",11944,127.7,34.625,127.725,34.6,26.591627
"258",11944,127.7,34.625,127.725,34.6,26.579122
"259",11944,127.7,34.625,127.725,34.6,26.567088
"260",11944,127.7,34.625,127.725,34.6,26.604854
"261",11944,127.7,34.625,127.725,34.6,26.592479
"262",11944,127.7,34.625,127.725,34.6,26.580514
"263",11944,127.7,34.625,127.725,34.6,26.568986
"264",1713,126.275,35.325,126.3,35.3,27.480765
"265",1713,126.275,35.325,126.3,35.3,27.514184
"266",1713,126.275,35.325,126.3,35.3,27.593917
"267",1713,126.275,35.325,126.3,35.3,27.483292
"268",1713,126.275,35.325,126.3,35.3,27.516813
"269",1713,126.275,35.325,126.3,35.3,27.590483
"270",1713,126.275,35.325,126.3,35.3,27.48756
"271",1713,126.275,35.325,126.3,35.3,27.521697
"272",1713,126.275,35.325,126.3,35.3,27.579977
"273",1713,126.275,35.325,126.3,35.3,27.481347
"274",1713,126.275,35.325,126.3,35.3,27.516897
"275",1713,126.275,35.325,126.3,35.3,27.571698
"276",3772,126.575,37.55,126.6,37.525,26.522595
"277",3772,126.575,37.55,126.6,37.525,26.515714
"278",3772,126.575,37.55,126.6,37.525,26.509243
"279",3772,126.575,37.55,126.6,37.525,26.549995
"280",3772,126.575,37.55,126.6,37.525,26.527502
"281",3772,126.575,37.55,126.6,37.525,26.513192
"282",3772,126.575,37.55,126.6,37.525,26.578751
"283",3772,126.575,37.55,126.6,37.525,26.535735
"284",3772,126.575,37.55,126.6,37.525,26.51362
"285",3771,126.575,37.575,126.6,37.55,26.544569
"286",3771,126.575,37.575,126.6,37.55,26.52552
"287",3771,126.575,37.575,126.6,37.55,26.512652
"288",3771,126.575,37.575,126.6,37.55,26.532282
"289",3771,126.575,37.575,126.6,37.55,26.52002
"290",3771,126.575,37.575,126.6,37.55,26.510546
"291",3771,126.575,37.575,126.6,37.55,26.518446
"292",3771,126.575,37.575,126.6,37.55,26.513497
"293",3771,126.575,37.575,126.6,37.55,26.508127
"294",3771,126.575,37.575,126.6,37.55,26.522595
"295",3771,126.575,37.575,126.6,37.55,26.515714
"296",3771,126.575,37.575,126.6,37.55,26.509243
"297",3770,126.575,37.6,126.6,37.575,26.519114
"298",3770,126.575,37.6,126.6,37.575,26.514494
"299",3770,126.575,37.6,126.6,37.575,26.509187
"300",3770,126.575,37.6,126.6,37.575,26.532668
"301",3770,126.575,37.6,126.6,37.575,26.52125
"302",3770,126.575,37.6,126.6,37.575,26.511723
"303",3770,126.575,37.6,126.6,37.575,26.544569
"304",3770,126.575,37.6,126.6,37.575,26.52552
"305",3770,126.575,37.6,126.6,37.575,26.512652
"306",1727,126.275,34.975,126.3,34.95,26.983214
"307",1727,126.275,34.975,126.3,34.95,26.983631
"308",1727,126.275,34.975,126.3,34.95,27.01605
"309",1727,126.275,34.975,126.3,34.95,26.973679
"310",1727,126.275,34.975,126.3,34.95,26.96822
"311",1727,126.275,34.975,126.3,34.95,26.992597
"312",1727,126.275,34.975,126.3,34.95,26.93351
"313",1727,126.275,34.975,126.3,34.95,26.937781
"314",1727,126.275,34.975,126.3,34.95,26.953692
"315",1727,126.275,34.975,126.3,34.95,26.886655
"316",1727,126.275,34.975,126.3,34.95,26.894461
"317",1727,126.275,34.975,126.3,34.95,26.901863
"318",1726,126.275,35,126.3,34.975,26.992779
"319",1726,126.275,35,126.3,34.975,27.019692
"320",1726,126.275,35,126.3,34.975,27.055177
"321",1726,126.275,35,126.3,34.975,26.978262
"322",1726,126.275,35,126.3,34.975,26.998018
"323",1726,126.275,35,126.3,34.975,27.033121
"324",1726,126.275,35,126.3,34.975,26.983214
"325",1726,126.275,35,126.3,34.975,26.983631
"326",1726,126.275,35,126.3,34.975,27.01605
"327",1725,126.275,35.025,126.3,35,27.056356
"328",1725,126.275,35.025,126.3,35,27.074056
"329",1725,126.275,35.025,126.3,35,27.1277
"330",1725,126.275,35.025,126.3,35,27.048882
"331",1725,126.275,35.025,126.3,35,27.062172
"332",1725,126.275,35.025,126.3,35,27.109891
"333",1725,126.275,35.025,126.3,35,27.020699
"334",1725,126.275,35.025,126.3,35,27.04401
"335",1725,126.275,35.025,126.3,35,27.083498
"336",1725,126.275,35.025,126.3,35,26.992779
"337",1725,126.275,35.025,126.3,35,27.019692
"338",1725,126.275,35.025,126.3,35,27.055177
"339",1724,126.275,35.05,126.3,35.025,27.082382
"340",1724,126.275,35.05,126.3,35.025,27.116396
"341",1724,126.275,35.05,126.3,35.025,27.161094
"342",1724,126.275,35.05,126.3,35.025,27.060307
"343",1724,126.275,35.05,126.3,35.025,27.091683
"344",1724,126.275,35.05,126.3,35.025,27.1415
"345",1724,126.275,35.05,126.3,35.025,27.056356
"346",1724,126.275,35.05,126.3,35.025,27.074056
"347",1724,126.275,35.05,126.3,35.025,27.1277
"348",1723,126.275,35.075,126.3,35.05,27.170074
