id,left,top,right,bottom,БъјТ
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,246.79720000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,245.32990000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,243.22432000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,244.92762000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,243.63773000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,241.84797000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,243.18607000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,242.08782000
11039,127.575000000000003,34.875000000000000,127.600000000000023,34.850000000000001,240.61710000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,266.97920000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,268.25186000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,269.60962000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,271.09514000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,265.06239000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,266.01249000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,267.23084000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,268.69789000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,262.78231000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,263.45533000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,264.68409000
2915,126.450000000000003,36.600000000000001,126.475000000000023,36.575000000000003,266.30142000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,253.97754000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,252.52856000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,250.30827000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,251.25738000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,249.67082000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,247.27796000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,248.88109000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,247.29846000
11038,127.575000000000003,34.899999999999999,127.600000000000023,34.875000000000000,244.96099000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,264.13939000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,263.83610000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,263.15763000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,260.45997000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,259.68268000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,258.38039000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,257.05399000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,255.88324000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,254.04638000
11037,127.575000000000003,34.925000000000004,127.600000000000023,34.900000000000006,253.97754000
