°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ,¼ö¿Â¿©ºÎ,Æò±Õ¼ö¿Â
GR3_G3B14_O,Y,33.300096774193555,Y,25.867096774193552
GR3_F4C14_T,Y,30.7993870967742,Y,27.41870967741935
GR3_F4C23_P,Y,31.00090322580645,Y,27.30064516129032
GR3_F4C23_Q,Y,31.202161290322575,Y,27.27032258064516
GR3_F4C23_R,Y,31.31122580645161,Y,27.159032258064524
GR3_F4C23_S,Y,31.22629032258065,Y,27.059032258064516
GR3_F4C14_Y,Y,30.556193548387093,Y,27.541290322580643
GR3_F4C23_U,Y,30.7576129032258,Y,27.46193548387097
GR3_F4C23_V,Y,30.95887096774194,Y,27.369999999999997
GR3_F4C23_W,Y,31.16032258064516,Y,27.193870967741944
GR3_F4C23_X,Y,31.361774193548392,Y,27.08129032258065
GR3_F4C32_D,Y,30.236580645161293,Y,27.703225806451616
GR3_F4C32_E,Y,30.312870967741933,Y,27.761290322580646
GR3_G3B32_B,N,0.0,N,0.0
GR3_G3B32_D,Y,33.35670967741935,Y,25.860000000000003
GR3_F4C32_I,Y,29.840903225806453,Y,27.85774193548387
GR3_F4C32_M,Y,31.017193548387098,Y,27.958709677419353
GR3_F4C32_N,Y,30.410225806451614,Y,27.98354838709677
GR3_G3B32_L,N,0.0,N,0.0
GR3_G3B32_M,Y,33.404483870967745,Y,25.105806451612903
GR3_F4C32_P,Y,32.0816129032258,Y,27.478387096774195
GR3_F4C32_Q,Y,32.46551612903225,Y,27.851612903225806
GR3_F4C32_R,Y,31.64477419354839,Y,28.108387096774194
GR3_F4C32_S,N,0.0,N,0.0
GR3_G3B32_P,N,0.0,N,0.0
GR3_F4C32_U,Y,32.38248387096774,Y,27.457096774193552
GR3_F4C32_V,Y,32.865967741935485,Y,27.875161290322577
GR3_F4C32_W,Y,32.274354838709684,Y,27.964516129032262
GR3_F4C33_E,Y,31.965129032258066,Y,27.094193548387096
GR3_F4C34_A,Y,32.40032258064517,Y,27.42967741935484
GR3_F4C34_B,Y,32.806548387096775,Y,27.738064516129032
GR3_F4C34_C,N,0.0,N,0.0
GR3_G3A43_B,N,0.0,N,0.0
GR3_G3A43_C,N,0.0,N,0.0
GR3_G3A43_D,N,0.0,N,0.0
GR3_G3B33_E,N,0.0,N,0.0
GR3_F4C33_J,Y,31.967741935483872,Y,27.091935483870973
GR3_F4C34_F,Y,32.32083870967742,Y,27.343225806451613
GR3_F4C34_G,Y,32.68345161290322,Y,27.523870967741935
GR3_F4C34_H,Y,32.844193548387096,Y,27.67677419354838
GR3_G3A43_G,Y,30.191677419354843,Y,28.252903225806453
GR3_G3A43_H,Y,30.18312903225807,Y,28.050322580645158
GR3_G3B33_H,N,0.0,N,0.0
GR3_G3B33_I,Y,33.27306451612904,Y,25.831612903225803
GR3_F4C33_N,Y,31.90048387096774,Y,26.488709677419354
GR3_F4C33_O,Y,31.873516129032257,Y,26.91806451612903
GR3_F4C34_K,Y,32.19783870967742,Y,27.228387096774195
GR3_F4C34_L,Y,32.56035483870968,Y,27.513548387096776
GR3_F4C34_M,Y,32.751903225806444,Y,27.621290322580638
GR3_F4C34_N,Y,32.86996774193548,Y,27.78935483870968
GR3_F4C34_O,N,0.0,N,0.0
GR3_G3A34_N,N,0.0,N,0.0
GR3_G3A34_O,N,0.0,N,0.0
GR3_G3A43_K,N,0.0,N,0.0
GR3_G3A43_L,Y,30.338225806451614,Y,28.12548387096774
GR3_G3A43_M,Y,30.314451612903223,Y,27.620322580645166
GR3_G3A43_N,N,0.0,N,0.0
GR3_G3B33_M,Y,33.1175806451613,Y,24.77774193548387
GR3_F4C33_R,Y,31.79706451612903,Y,25.71967741935484
GR3_F4C33_S,Y,31.539645161290323,Y,26.385806451612904
GR3_F4C33_T,Y,31.78258064516129,Y,26.850322580645162
GR3_F4C34_P,Y,32.07474193548387,Y,27.177419354838708
GR3_F4C34_Q,Y,32.437387096774195,Y,27.47806451612903
GR3_F4C34_R,Y,32.66548387096774,Y,27.57806451612904
GR3_F4C34_S,Y,32.732290322580646,Y,27.73516129032258
GR3_F4C34_T,N,0.0,N,0.0
GR3_G3A33_P,Y,30.746903225806452,Y,26.742580645161294
GR3_G3A33_Q,N,0.0,N,0.0
GR3_G3A34_R,N,0.0,N,0.0
GR3_G3A34_S,N,0.0,N,0.0
GR3_G3A34_T,Y,30.532258064516135,Y,28.708709677419357
GR3_G3A43_P,Y,30.50848387096774,Y,28.617096774193545
GR3_G3A43_Q,Y,30.484548387096773,Y,27.953548387096774
GR3_G3A43_R,Y,30.460774193548385,Y,27.133225806451613
GR3_G3A44_Q,Y,30.38016129032258,Y,24.86645161290323
GR3_G3A44_R,Y,30.531516129032262,Y,25.46258064516129
GR3_G3A44_S,Y,30.821258064516126,Y,26.924838709677417
GR3_G3A44_T,Y,32.180612903225814,Y,26.153225806451612
GR3_F4C33_W,Y,31.225129032258064,Y,25.567096774193548
GR3_F4C33_X,Y,31.44867741935484,Y,26.29709677419355
GR3_F4C33_Y,Y,31.69138709677419,Y,26.787096774193547
GR3_F4C34_U,Y,31.95183870967742,Y,27.059032258064516
GR3_F4C34_V,Y,32.314193548387095,Y,27.32903225806452
GR3_F4C34_W,Y,32.57887096774194,Y,27.481290322580648
GR3_F4C34_X,Y,32.63222580645161,Y,27.614193548387096
GR3_F4D44_X,N,0.0,N,0.0
GR3_F4D44_Y,N,0.0,N,0.0
GR3_G3A33_U,Y,30.893290322580647,Y,26.536774193548386
GR3_G3A33_V,N,0.0,N,0.0
GR3_G3A34_W,N,0.0,N,0.0
GR3_G3A34_X,N,0.0,N,0.0
GR3_G3A34_Y,Y,30.678741935483874,Y,26.322903225806453
GR3_G3A43_U,Y,30.654838709677417,Y,26.22903225806451
GR3_G3A43_W,Y,30.607258064516124,Y,27.07548387096774
GR3_G3A43_X,Y,30.58341935483871,Y,24.335483870967742
GR3_G3A44_V,Y,31.011677419354843,Y,24.491290322580646
GR3_G3A44_Y,Y,31.921709677419358,Y,25.698064516129037
GR3_F4G11_D,Y,31.35751612903226,Y,26.364193548387092
GR3_F4G11_E,Y,31.600354838709674,Y,26.72258064516129
GR3_F4G12_A,Y,31.84332258064516,Y,26.98870967741936
GR3_F4G12_B,Y,32.19112903225806,Y,27.174193548387095
GR3_F4G12_C,Y,32.49235483870967,Y,27.29774193548387
GR3_F4H22_A,N,0.0,N,0.0
GR3_F4H22_D,Y,31.087451612903227,Y,26.65064516129032
GR3_F4H22_E,Y,31.063612903225806,Y,26.32451612903226
GR3_G3E11_A,Y,31.039741935483868,Y,26.14967741935484
GR3_G3E11_B,N,0.0,N,0.0
GR3_G3E12_B,N,0.0,N,0.0
GR3_G3E12_D,N,0.0,N,0.0
GR3_G3E12_E,Y,30.825161290322587,Y,26.08516129032259
GR3_G3E21_C,Y,30.899322580645162,Y,25.224193548387095
GR3_G3E21_D,Y,31.160419354838712,Y,24.76419354838709
GR3_F4G12_G,Y,32.06812903225806,Y,26.777419354838713
GR3_F4G12_H,Y,32.40574193548387,Y,26.85967741935484
GR3_F4G12_I,N,0.0,N,0.0
GR3_F4H21_G,N,0.0,N,0.0
GR3_F4H21_H,N,0.0,N,0.0
GR3_F4H21_I,N,0.0,N,0.0
GR3_F4H21_J,N,0.0,N,0.0
GR3_F4H22_F,Y,31.305451612903223,Y,25.98032258064516
GR3_F4H22_G,Y,31.281516129032266,Y,25.879032258064516
GR3_F4H22_H,Y,31.257741935483867,Y,26.078064516129036
GR3_F4H22_I,Y,31.233838709677425,Y,26.2858064516129
GR3_F4H22_J,Y,31.210032258064516,Y,26.336129032258068
GR3_G3E11_F,Y,31.186225806451613,Y,26.099999999999998
GR3_G3E11_G,N,0.0,N,0.0
GR3_G3E11_H,N,0.0,N,0.0
GR3_G3E11_I,N,0.0,N,0.0
GR3_G3E11_J,N,0.0,N,0.0
GR3_G3E12_F,N,0.0,N,0.0
GR3_G3E12_G,N,0.0,N,0.0
GR3_G3E12_H,N,0.0,N,0.0
GR3_G3E12_I,N,0.0,N,0.0
GR3_G3E12_J,Y,30.971580645161296,Y,25.569677419354836
GR3_G3E21_F,Y,31.408032258064516,Y,25.8883870967742
GR3_G3E21_G,Y,31.59383870967742,Y,25.96903225806452
GR3_G3E21_H,N,0.0,N,0.0
GR3_F4G12_M,Y,32.3076129032258,Y,26.04967741935484
GR3_F4G12_N,Y,32.3723870967742,Y,26.223225806451612
GR3_F4H12_N,N,0.0,N,0.0
GR3_F4H12_O,Y,31.58312903225806,Y,27.897419354838707
GR3_F4H21_K,Y,31.623032258064516,Y,27.585161290322585
GR3_F4H21_L,Y,31.824354838709677,Y,27.29387096774193
GR3_F4H21_M,Y,31.921161290322583,Y,26.737741935483875
GR3_F4H21_N,Y,31.812806451612907,Y,26.95774193548387
GR3_F4H21_O,Y,31.60148387096774,Y,26.655161290322578
GR3_F4H22_K,Y,31.45167741935484,Y,25.90709677419355
GR3_F4H22_L,Y,31.427967741935483,Y,25.792580645161284
GR3_F4H22_M,Y,31.404161290322584,Y,25.994193548387102
GR3_F4H22_N,Y,31.38029032258065,Y,26.238064516129036
GR3_F4H22_O,Y,31.35651612903226,Y,26.850967741935488
GR3_G3E11_K,Y,31.332677419354834,Y,26.675161290322585
GR3_G3E11_L,Y,31.308806451612902,Y,25.48290322580645
GR3_G3E11_M,Y,31.28493548387097,Y,25.472903225806455
GR3_G3E11_N,Y,31.26116129032258,Y,25.75387096774194
GR3_G3E11_O,Y,31.237258064516134,Y,26.37516129032258
GR3_G3E12_K,Y,31.21345161290322,Y,26.227096774193555
GR3_G3E12_L,Y,31.189580645161296,Y,26.81838709677419
GR3_G3E12_M,Y,31.397709677419353,Y,26.69677419354839
GR3_G3E12_N,N,0.0,N,0.0
GR3_G3E12_O,Y,32.026967741935486,Y,25.06888888888889
GR3_G3E21_L,Y,32.10329032258065,Y,25.25
GR3_G3E21_M,N,0.0,N,0.0
GR3_G3E21_O,Y,33.01964516129031,Y,26.70785714285714
GR3_F4G12_R,Y,32.18458064516128,Y,25.102307692307697
GR3_F4G12_S,Y,32.285935483870965,Y,25.606666666666666
GR3_F4H12_R,Y,31.789290322580644,Y,28.275384615384613
GR3_F4H12_S,Y,31.778,Y,28.448823529411765
GR3_F4H12_T,Y,31.766677419354846,Y,27.94538461538462
GR3_F4H21_P,Y,31.75538709677419,Y,27.34888888888889
GR3_F4H21_Q,N,0.0,N,0.0
GR3_F4H21_R,Y,31.78248387096775,Y,26.371875
GR3_F4H21_S,Y,31.98396774193548,Y,26.86923076923077
GR3_F4H22_P,Y,31.67854838709677,Y,26.16260869565217
GR3_F4H22_Q,Y,31.574193548387097,Y,25.861538461538466
GR3_F4H22_S,Y,31.526741935483873,Y,26.36846153846154
GR3_F4H22_T,Y,31.502903225806456,Y,27.810769230769232
GR3_G3E11_P,N,0.0,N,0.0
